Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Vehicle,Change Lane Left,Middle,17:41:59,7
Vehicle,Change Lane Left,Left,17:42:12,7
Vehicle,Change Lane Right,Right,17:42:31,7
Vehicle,Change Lane Left,Middle,17:43:12,7
Vehicle,Change Lane Left,Left,17:44:05,7
Vehicle,Change Lane Right,Middle,17:44:10,7
Vehicle,Change Lane Left,Left,17:44:20,7
Vehicle,Change Lane Left,Middle,17:46:25,7
Vehicle,Change Lane Left,Left,17:47:06,7
Vehicle,Change Lane Left,Left,17:48:00,7
Vehicle,Change Lane Right,Middle,17:53:42,7
Vehicle,Change Lane Right,Right,17:53:58,7
Vehicle,Change Lane Left,Middle,17:54:57,7
Vehicle,Change Lane Left,Left,17:55:37,7
Vehicle,Change Lane Right,Middle,17:55:50,7
Vehicle,Change Lane Right,Right,17:57:01,7
Vehicle,Change Lane Left,Middle,17:57:27,7
Vehicle,Change Lane Right,Right,17:57:48,7
Vehicle,Change Lane Left,Left,17:58:21,7
Vehicle,Change Lane Left,Left,17:59:04,7
Vehicle,Change Lane Right,Right,17:59:39,7
Vehicle,Change Lane Left,Left,18:00:30,7
Vehicle,Change Lane Right,Middle,18:01:56,7
Vehicle,Change Lane Left,Left,18:02:05,7
Vehicle,Change Lane Right,Middle,18:02:45,7
Vehicle,Change Lane Right,Right,18:03:11,7
Vehicle,Change Lane Right,Right,18:03:17,7
Vehicle,Change Lane Left,Left,18:04:47,7
Vehicle,Change Lane Right,Right,18:05:01,7
Passenger,Stop,Right,18:05:23,7
Passenger,Unload,Right,18:05:23,7
Passenger,Go,Right,18:06:08,7
Vehicle,Change Lane Left,Left,18:06:35,7
Vehicle,Change Lane Left,Middle,18:08:43,7
Vehicle,Change Lane Right,Right,18:09:08,7
Passenger,Stop,Right,18:12:24,7
Passenger,Unload,Right,18:12:24,7
Passenger,Go,Right,18:12:46,7
Vehicle,Change Lane Left,Left,18:13:14,7
Vehicle,Change Lane Right,Right,18:13:30,7
Vehicle,Change Lane Left,Left,18:18:05,7
Vehicle,Change Lane Right,Right,18:18:50,7
Passenger,Stop,Right,18:19:06,7
Passenger,Unload,Right,18:19:06,7
Passenger,Go,Right,18:19:53,7
Vehicle,Change Lane Right,Right,18:20:48,7
Vehicle,Change Lane Left,Left,18:20:55,7
Vehicle,Change Lane Right,Right,18:21:09,7
Passenger,Stop,Right,18:21:39,7
Passenger,Go,Right,18:22:56,7
Vehicle,Change Lane Right,Right,18:23:57,7
Vehicle,Change Lane Left,Left,18:25:21,7
Vehicle,Change Lane Right,Right,18:25:26,7
Vehicle,Change Lane Right,Right,18:26:34,7
Vehicle,Change Lane Right,Right,18:27:04,7
Passenger,Stop,Left,18:28:39,7
Passenger,Go,Right,18:31:03,7
Vehicle,Change Lane Right,Right,18:32:17,7
Vehicle,Change Lane Right,Right,18:33:15,7
Vehicle,Change Lane Right,Left,18:34:20,7
Vehicle,Change Lane Right,Right,18:37:34,7
Vehicle,Change Lane Left,Left,18:37:43,7
Vehicle,Change Lane Right,Right,18:37:48,7
Vehicle,Change Lane Right,Right,18:38:38,7
Vehicle,Change Lane Left,Left,18:40:55,7
Vehicle,Change Lane Right,Right,18:41:46,7
Vehicle,Change Lane Left,Left,18:42:02,7
Vehicle,Change Lane Right,Right,18:42:08,7
Vehicle,Change Lane Left,Left,18:42:45,7
Vehicle,Change Lane Right,Right,18:45:38,7
Vehicle,Change Lane Left,Left,18:45:54,7
Vehicle,Change Lane Right,Right,18:46:40,7
Vehicle,Change Lane Left,Left,18:46:45,7
Vehicle,Change Lane Right,Right,18:48:20,7
Vehicle,Change Lane Left,Left,18:49:55,7
Vehicle,Change Lane Right,Right,18:51:00,7
Vehicle,Change Lane Left,Left,18:54:37,7
Vehicle,Change Lane Right,Middle,18:55:52,7
Vehicle,Change Lane Right,Right,18:56:03,7
Vehicle,Change Lane Left,Middle,18:56:33,7
Vehicle,Change Lane Left,Left,19:00:30,7
Vehicle,Change Lane Right,Middle,19:01:25,7
Vehicle,Change Lane Right,Right,19:02:15,7
Vehicle,Change Lane Right,Left,19:02:36,7
Vehicle,Change Lane Right,Right,19:03:13,7
Vehicle,Change Lane Left,Left,19:04:00,7
Vehicle,Change Lane Left,Left,19:04:16,7
Vehicle,Change Lane Right,Right,19:06:02,7
Vehicle,Change Lane Right,Right,16:06:53,7
Passenger,Load,,17:33:10,9
Passenger,Go,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Stoplight,Stop,Middle,00:00:00,9
Stoplight,Go,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Stoplight,Stop,Right,00:00:00,9
Stoplight,Go,Right,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Stoplight,Stop,Left,00:00:00,9
Stoplight,Go,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Stoplight,Stop,Right,00:00:00,9
Stoplight,Go,Right,00:00:00,9
Passenger,Change Lane Right,Right,00:00:00,9
Passenger,Stop,Right,18:18:10,9
Passenger,Unload,Right,00:00:00,9
Passenger,Go,Right,18:18:35,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Stoplight,Stop,Left,00:00:00,9
Stoplight,Go,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Passenger,Change Lane Right,Right,00:00:00,9
Passenger,Stop,Right,18:24:46,9
Passenger,Unload,Right,00:00:00,9
Passenger,Go,Right,18:25:04,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Passenger,Change Lane Right,Right,00:00:00,9
Passenger,Stop,Right,18:25:41,9
Passenger,Unload,Right,00:00:00,9
Passenger,Go,Right,18:26:02,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Passenger,Change Lane Right,Right,00:00:00,9
Passenger,Stop,Right,18:28:09,9
Passenger,Unload,Right,00:00:00,9
Passenger,Go,Right,18:28:20,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Stoplight,Stop,Right,00:00:00,9
Stoplight,Go,Right,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Passenger,Change Lane Right,Right,00:00:00,9
Passenger,Stop,Right,00:00:00,9
Passenger,Unload,Right,00:00:00,9
Passenger,Go,Right,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Passenger,Stop,Right,18:43:15,9
Passenger,Unload,Right,00:00:00,9
Passenger,Go,Right,18:43:21,9
Vehicle,Change Lane Left,Middle,00:00:00,9
Passenger,Change Lane Right,Right,00:00:00,9
Passenger,Stop,Right,18:44:04,9
Passenger,Unload,Right,00:00:00,9
Passenger,Go,Right,18:44:18,9
Stoplight,Stop,Right,00:00:00,9
Stoplight,Go,Right,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Middle,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Vehicle,Change Lane Right,Right,00:00:00,9
Vehicle,Change Lane Left,Left,00:00:00,9
Passenger,Change Lane Right,Right,00:00:00,9
Passenger,Stop,Right,18:53:28,9
Passenger,Unload,Right,00:00:00,9
Passenger,Go,Right,18:53:43,9
Vehicle,Change Lane Left,Left,00:00:00,9
Passenger,Change Lane Right,Right,00:00:00,9
Passenger,Stop,Right,18:58:51,9
Passenger,Unload,Right,00:00:00,9
Passenger,Go,Right,18:59:23,9
Passenger,Load,,00:00:00,10
Passenger,Go,Right,00:00:00,10
Passenger,Stop,Right,00:00:00,10
Passenger,Load,Right,20:37:33,10
Passenger,Go,Right,20:37:49,10
Passenger,Stop,Right,00:00:00,10
Passenger,Load,Right,20:38:07,10
Passenger,Go,Right,20:38:18,10
Vehicle,Change Lane Left,Left,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Vehicle,Change Lane Left,Left,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Passenger,Change Lane Right,Right,00:00:00,10
Passenger,Stop,Right,20:49:41,10
Passenger,Load,Right,00:00:00,10
Passenger,Go,Right,20:49:56,10
