Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Vehicle,Change Lane Right,Right,08:19:19,5
Vehicle,Change Lane Left,Left,08:19:28,5
Vehicle,Change Lane Right,Right,08:21:33,5
Vehicle,Change Lane Right,Right,08:22:02,5
Vehicle,Change Lane Left,Left,08:35:49,5
Vehicle,Change Lane Right,Right,08:51:22,5
Vehicle,Change Lane Left,Left,08:52:00,5
Vehicle,Change Lane Right,Right,08:54:12,5
Vehicle,Change Lane Right,Right,08:57:05,5
Vehicle,Change Lane Left,Left,08:57:59,5
Vehicle,Change Lane Right,Right,08:58:08,5
Vehicle,Change Lane Left,Left,09:00:36,5
Vehicle,Change Lane Right,Right,09:00:50,5
Vehicle,Change Lane Left,Left,13:57:55,6
Vehicle,Change Lane Right,Middle,13:58:41,6
Vehicle,Change Lane Right,Right,13:58:50,6
Vehicle,Change Lane Right,Right,13:59:24,6
Vehicle,Change Lane Left,Right,14:04:48,6
Vehicle,Change Lane Right,Right,14:06:27,6
Vehicle,Change Lane Left,Left,14:09:05,6
Vehicle,Change Lane Right,Right,14:11:32,6
Vehicle,Change Lane Left,Left,14:11:46,6
Vehicle,Change Lane Right,Right,14:14:22,6
Vehicle,Change Lane Left,Left,14:15:39,6
Vehicle,Change Lane Right,Right,14:15:55,6
Vehicle,Change Lane Left,Left,14:20:27,6
Vehicle,Stop,Left,14:22:23,6
Vehicle,Change Lane Right,Right,14:43:23,6
Vehicle,Change Lane Left,Left,14:46:37,6
Vehicle,Change Lane Right,Right,14:46:46,6
Vehicle,Change Lane Left,Left,14:47:55,6
Vehicle,Change Lane Right,Right,14:48:10,6
Vehicle,Change Lane Left,Left,14:50:31,6
Vehicle,Change Lane Right,Right,14:51:23,6
Vehicle,Change Lane Left,Left,14:51:40,6
Vehicle,Change Lane Right,Right,14:52:31,6
Vehicle,Change Lane Left,Left,14:52:46,6
Vehicle,Change Lane Right,Right,14:52:21,6
Vehicle,Change Lane Left,Left,14:53:04,6
Vehicle,Change Lane Right,Right,14:53:30,6
Vehicle,Change Lane Left,Left,14:53:39,6
Vehicle,Change Lane Right,Right,14:53:52,6
Vehicle,Change Lane Left,Left,14:54:20,6
Vehicle,Change Lane Right,Right,14:55:24,6
Vehicle,Change Lane Left,Left,14:55:58,6
Vehicle,Change Lane Right,Right,14:56:57,6
Vehicle,Change Lane Left,Left,14:57:21,6
Vehicle,Change Lane Right,Middle,15:00:27,6
Vehicle,Change Lane Left,Left,15:00:31,6
Vehicle,Change Lane Left,Right,15:01:09,6
Vehicle,Change Lane Left,Left,15:02:58,6
Stoplight,Stop,Left,15:03:17,6
Stoplight,Go,Left,16:06:55,6
Vehicle,Change Lane Left,Left,16:08:30,6
Vehicle,Change Lane Left,Left,16:09:27,6
Vehicle,Change Lane Right,Right,16:11:31,6
Vehicle,Change Lane Left,Left,16:11:40,6
Vehicle,Change Lane Right,Right,16:12:17,6
Vehicle,Change Lane Left,Left,16:13:04,6
Vehicle,Change Lane Right,Right,16:13:38,6
Vehicle,Change Lane Left,Left,16:13:56,6
Vehicle,Change Lane Right,Right,16:14:12,6
Vehicle,Change Lane Left,Left,16:14:32,6
Vehicle,Change Lane Right,Right,16:16:35,6
Vehicle,Change Lane Left,Left,16:16:40,6
Vehicle,Change Lane Right,Right,16:18:25,6
Vehicle,Change Lane Left,Left,16:18:29,6
Passenger,Go,Right,00:00:00,8
Passenger,Change Lane Right,Right,00:00:00,8
Passenger,Stop,Right,00:00:00,8
Passenger,Go,Right,00:00:00,8
